cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
colt-mccoy-1,McCoCo00,12.000000,2010, 85,24,74,209,4.790000,32.68965,114.0000,4.384510,17.11717,7.262988,53,1645,447, 16.90358491, 3.01415094,145.93345, 1624.599459,185.58703969, 30.58369142, -7.34566890, -352.054885,  0.460198186,17.3181065
connor-cook-1,CookCo00, 0.000000,2016,100,23,76,220,4.790000,33.00000,113.0000,4.280000,18.14084,7.210000,43,1170,176, 14.73441860, 2.97697674,112.86629,  690.922571,-20.80480482, 10.20303083,-11.51162275, -601.456283, -5.213716622,12.6171685
craig-erickson-1,EricCr00, 0.000000,1992, 86,23,74,209,4.569448,34.95119,118.4466,4.240350,17.11717,7.074048,44, 752, 92, 22.75000000, 5.52000000,147.54485,  771.166841, 16.51954881, 13.90130769,-10.78961310, -398.778168,  0.441414574,12.2935804
craig-krenzel-1,KrenCr00, 1.000000,2004,148,23,76,225,4.840000,28.00000,112.0000,4.080000,18.60615,7.220000,33, 577,247, 14.87151515, 4.69303030,102.00814,  407.697380,  3.70122476,  0.29784374,  1.45894615, -416.868862, -4.471780401,16.6930578
craig-whelihan-1,WhelCr00, 1.000000,1995,197,24,77,220,4.629215,34.59658,117.8114,4.279415,18.14084,7.125248,20, 591, 80, -8.41050000,-6.01600000, 82.68129, -373.150970,-24.97986345, -0.42301342, -2.90900031, -396.731656, -0.045929887,12.5174403
curtis-painter-1,PainCu00, 2.000000,2009,201,24,76,230,4.870000,29.00000,102.0000,4.480000,19.07145,7.000000,46,1648,225,  2.29021739, 1.28326087,109.11335, -421.179273, 17.47403204,-14.50597683, -7.67747168, -598.695085,  3.497900678, 2.6025684
dak-prescott-1,PresDa01,63.000000,2016,135,23,74,226,4.790000,32.50000,116.0000,4.320000,18.69921,7.110000,49,1169,402, 10.83489796, 4.82612245,110.80533,  883.006234, 41.47602608,  9.22214313,-10.35074049, -164.688414,  9.301946086,29.3590739
dan-mcgwire-1,McGwDa00, 2.000000,1991, 16,23,80,240,4.737882,33.72807,116.2555,4.350444,20.00207,7.218340,47, 973,109,  5.80425532, 0.59957447,140.33330, 1321.328676, 52.30547736,  7.50289138,-12.65427807, -885.806043, -1.186954942,19.7596782
dan-orlovsky-1,OrloDa00, 4.000000,2005,145,22,77,230,4.930000,29.50000,107.0000,4.390000,19.07145,7.330000,46,1567,143, -3.28000000,-5.71260870,107.31663, -376.000997, 32.24885853,  8.22051884, -1.89701097, -873.701005,  0.010846934,11.2384454
daniel-jones-4,JoneDa05,49.863194,2019,  6,22,77,221,4.810000,33.50000,120.0000,4.410000,18.23390,7.000000,36,1275,406,  4.10388889, 3.39638889, 90.08007,-1236.172690,  5.92003554,-16.42870682, -5.65939687, -567.047509, -2.232847286,19.7637161
danny-etling-1,EtliDa00, 0.000000,2018,219,24,74,222,4.760000,30.50000,114.0000,4.370000,18.32696,7.090000,37, 973,201,  5.32837838, 4.46837838, 83.70930,  -61.493452,-14.51001174, -8.16609728, -8.31829684, -859.495334, -2.433632075, 4.8432150
danny-kanell-1,KaneDa00,13.000000,1996,130,22,75,218,4.618348,34.52846,117.6893,4.272313,17.95472,7.115939,45, 851, 55, 21.14777778, 4.75533333,165.24542,  439.180910, 62.38899891, 17.85390483, -6.39096775, -418.171929, -1.122062293,15.7582687
danny-wuerffel-1,WuerDa00, 4.000000,1997, 99,23,73,212,4.900000,28.00000,100.0000,4.420000,17.39635,7.309501,46,1170,185, 21.43478261, 5.46891304,171.16433, 2658.315796, 70.59028427, 59.70359129, -2.07143254,-1121.815095,  0.701846873,10.8179346
daunte-culpepper-1,CulpDa00,64.000000,1999, 11,22,76,264,4.520000,39.00000,122.0000,4.130000,22.23554,6.929421,33,1097,371, -0.62000000,-5.68333333,123.54182, 1497.564688,128.90404279, 19.26798574, -7.43706806, -471.304592,  4.280714986,43.6612430
dave-barr-1,BarrDa20, 0.000000,1995,119,23,75,210,4.574881,34.98525,118.5076,4.243901,17.21023,7.078702,35, 763,151,  4.83085714, 4.31628571,107.86475,  725.815284, 67.23124713, 11.71663797,  0.09136059, -946.351930, -4.657324771,11.7114491
dave-ragone-1,RagoDa00, 1.000000,2003, 88,23,75,245,4.990000,30.50000,101.0000,4.360000,20.46737,7.420000,41,1180,326,  5.23804878,-2.18487805,119.17283,  336.457948, 34.16831107, 18.29946274,-12.15531437, -727.411524, -4.810177344,10.8499492
david-carr-1,CarrDa00,46.000000,2002,  1,23,75,215,4.670000,35.00000,108.0000,4.280000,17.67554,7.050000,36, 901,177,  4.17527778,-2.36416667,118.86683, 1160.759559, 69.07315567, 22.48311942, -9.74762845, -618.334119,  1.634128371,15.6328437
david-fales-1,FaleDa00, 1.000000,2014,183,23,74,212,4.990000,28.00000,103.0000,4.500000,17.39635,7.550000,25, 938, 90,  2.53360000,-1.86800000,115.50239, 1543.168867, 75.03553304, 16.94331368, -4.77351397, -541.715319, -2.186754783, 0.2603040
